crop_type,soil_type,region,season,farm_size_acres,temperature_C,rainfall_mm,soil_moisture_percent,humidity_percent,groundwater_availability,irrigation_type
Maize,Silty,Humid,Zaid,22.568721266252762,38.14645268509028,989.8455001363847,16.998244107260202,54.44366689744004,High,Flood
Wheat,Silty,Sub-Humid,Zaid,46.958359096279636,40.27397912853602,322.5646316108401,10.054513608871003,94.41586694684132,Medium,Sprinkler
Rice,Silty,Arid,Rabi,30.786718288757783,14.368437102970628,64.79175279631737,19.76457024564293,41.91084864014136,Low,Drip
Vegetable,Loam,Sub-Humid,Zaid,8.94094412252093,38.328262482324455,318.5801650879991,14.553611508969567,91.16641529399999,Low,Drip
Grapes,Clay,Arid,Kharif,22.287548440110264,38.684660530243136,14.65081710095758,18.542676439134517,57.13826825834526,Medium,Drip
Maize,Loam,Arid,Kharif,26.243367048301636,31.23422152178822,99.37834265309729,48.26971955402958,33.86408416441453,Medium,Drip
Maize,Clay,Arid,Rabi,46.13277463364428,18.968499682166275,134.22410256414733,16.194475143634364,34.69871468143589,Medium,Drip
Rice,Clayey Loam,Sub-Humid,Kharif,48.28013770957483,36.73502331327697,515.8768529556319,52.492397338067924,40.69993865169075,Medium,Sprinkler
Wheat,Clayey Loam,Humid,Kharif,15.027664648542887,32.8976303635114,811.7007403531848,10.985587590055912,34.91318030666039,High,Flood
Vegetable,Loam,Semi-Arid,Kharif,6.235518446493921,32.169314570885454,122.21339552022711,70.41723981129155,66.74735951206685,High,Drip
Cotton,Sandy,Sub-Humid,Zaid,29.769240491532493,39.320680062497445,567.536501065443,29.230525509304492,62.09325693857759,High,Flood
Sugarcane,Clayey Loam,Semi-Arid,Rabi,38.66287540775077,18.419157963542446,328.23551458506927,44.56569174550735,59.20496220364956,High,Sprinkler
Maize,Clay,Arid,Kharif,16.06062106327817,37.72820822527561,4.714377853010138,45.599948381529195,88.06748554445697,High,Drip
Maize,Clayey Loam,Semi-Arid,Zaid,14.842696919231518,29.30865846708948,168.63944964748674,21.28549010778031,89.72732392569299,Low,Drip
Wheat,Sandy,Humid,Rabi,6.543353757683331,14.86517531507911,1041.640129459434,34.940848665388245,88.01213311593155,Medium,Flood
Rice,Sandy,Semi-Arid,Rabi,0.8441304612939398,22.910958748845154,345.404429776748,45.7523111804296,51.30582523615843,Low,Drip
Wheat,Sandy,Semi-Arid,Rabi,28.12604909985839,13.281463293596055,150.48731265187917,38.26853197406285,24.866918533173617,High,Drip
Cotton,Silty,Sub-Humid,Rabi,14.599604471684646,14.513174647251546,498.89940235695417,12.582086314817296,65.71732504849226,High,Sprinkler
Cotton,Silty,Arid,Zaid,34.194919851960954,38.78397285992318,51.76068720400245,47.165420832199544,53.58373734298187,Low,Drip
Barley,Silty,Semi-Arid,Zaid,23.779881405078903,41.65337585845823,172.64798148322777,78.83961986263901,49.91183318334148,High,Drip
Maize,Sandy,Humid,Zaid,16.634965807493295,42.59209968183324,947.906403395441,25.41687332958838,73.33621493285133,Medium,Flood
Maize,Loam,Sub-Humid,Zaid,46.86813444246836,34.57450088710914,576.3750952409864,19.626466090219527,45.57997632876939,Low,Drip
Rice,Clay,Semi-Arid,Zaid,9.16026889124884,31.885350370554093,308.73531980352465,78.75178403306049,58.747691845326074,Medium,Sprinkler
Rice,Clay,Humid,Rabi,17.281974656910684,19.49652185909902,1050.2090285816653,34.44467022288626,74.44667591526795,Low,Drip
Sugarcane,Silty,Sub-Humid,Rabi,8.500621347683381,11.262099474925733,556.812658461715,72.89879319689555,65.48217947446925,Low,Drip
Sugarcane,Sandy,Semi-Arid,Kharif,24.537880802518217,31.10727720688787,185.1762924212397,41.38969000903731,94.58430969581156,Low,Drip
Grapes,Sandy,Sub-Humid,Kharif,32.65682850283713,39.92982810236048,430.1598792637071,69.44563873459245,69.32096692252576,Medium,Drip
Rice,Silty,Semi-Arid,Zaid,48.66402246024606,32.14782393744442,179.56071030451764,37.51684072667323,86.9034916382835,Medium,Drip
Sugarcane,Loam,Arid,Kharif,43.2762944710592,38.37848119326199,96.76550430458472,26.11296877690887,57.439503491356426,Medium,Drip
Grapes,Loam,Sub-Humid,Kharif,14.33823691893955,34.39889027981886,697.8202043189365,71.84458155863813,76.07890804230604,Low,Drip
Wheat,Clayey Loam,Humid,Rabi,4.229639672303346,24.704973755740685,886.1462345854192,31.39879135010273,34.31832733627595,Low,Drip
Rice,Loam,Sub-Humid,Rabi,46.535833323136174,22.66319711089467,457.8765867237889,14.929129159468072,35.668903821152014,Low,Drip
Maize,Clay,Semi-Arid,Zaid,35.00227917926576,40.593066501821475,363.21192157838664,59.17388587909765,46.961836341481636,Medium,Sprinkler
Wheat,Clay,Semi-Arid,Rabi,4.538911929811897,19.17270566298521,176.86208307833743,10.362940394179073,67.09208112114771,High,Drip
Grapes,Sandy,Sub-Humid,Rabi,19.09135615567723,15.069927352773037,656.0021367270265,16.57873578886083,63.37101057471305,Medium,Flood
Barley,Loam,Humid,Rabi,43.09002860642792,22.58400253104045,1090.9204441552656,27.517595236110484,22.91260508220674,High,Flood
